,Pop,Raio_medio,std_R,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Excent,flong,sym,Conc
0,1,0.934765290994,0.327330185457,1.24704170609,1.00167471561,0.216936177597,0.503203023434,0.10399943236,0.360756022264,0.0341757294744,49.4084636776,16.3517064142,32.8800850459,-0.0306091823192,0.669050498698,3.00891410723,0.534069981584,0.360770051657
1,2,0.736634217045,0.280445521612,0.791254204055,0.206088554053,0.0172699241589,0.679774007591,0.0205369304106,0.139377402839,-0.000889178081398,36.7399345432,19.1210963115,27.9305154273,0.278527868129,0.479555515022,1.70252591127,0.383763837638,0.385224974135
2,3,0.776836976742,0.259915649214,0.854658841791,0.389190673968,0.118559478347,0.252586886059,0.0299973290295,0.111362514465,-0.00243283871862,40.0338006321,15.8175591022,27.9256798672,0.192992046032,0.604894892505,2.27538970771,0.649446494465,0.283029675139
3,4,0.483561001098,0.227157218416,0.364157564037,0.0221476632869,0.0157704438248,0.154656087166,0.00126123864813,0.00731135720481,0.000672867413516,23.55934441,15.2641494865,19.4117469483,-0.775203929994,0.352097867376,1.0083666121,0.432532347505,0.467950544225
0,1,0.629231817073,0.170407855876,0.54108928,0.00590342322258,0.0487813202473,0.196662678099,-0.000398580821218,-0.00425191737515,0.00375921238678,27.7921530636,24.0898200095,25.9409865365,0.450371880422,0.133215049789,0.915381422411,0.5568,0.247798010012
1,2,0.702138657171,0.267120746674,0.71848704,0.156684251988,0.0129711963364,0.131781127712,0.00200436427122,0.0228431583895,0.000877505750319,37.3215865242,20.0827483009,28.7021674125,-0.543129529185,0.461899930543,0.769135711506,0.9696,0.384409997505
2,3,0.733603609589,0.296974210783,0.799981449467,0.346308818572,0.307975654831,0.857710971687,0.101620095165,0.205154696268,-0.0488543669248,41.5935461406,16.2336284151,28.9135872778,0.526478389044,0.609707997482,1.46468917643,0.459069020867,0.419106103803
3,4,0.739243611461,0.342572305373,0.846428644806,0.323804615184,0.643266170331,2.17869119887,0.154400032557,0.227677732638,0.242972121025,42.0297844174,18.605996863,30.3178906402,-0.687658527508,0.5573140067,0.876926903672,0.762820512821,0.587142551559
0,1,0.71347938715,0.155447223688,0.678782051282,0.0397321550587,0.0369926028187,0.0563482705871,0.00107626077023,0.00895930058993,-0.00152042181393,37.0115340153,27.3486078226,32.180070919,0.116248381076,0.261078781244,1.34170193744,0.489743589744,0.180409784089
1,2,0.825723747663,0.253668739664,0.949817554241,0.348182970089,0.00256898201288,0.254766798848,0.00269513404125,0.0703704276396,0.00052999005232,49.0124990931,23.6897805368,36.3511398149,0.0301799852845,0.516658383573,0.484231946652,0.530769230769,0.229552990513
2,3,0.735721088608,0.227267841944,0.756704290878,0.0560077592221,0.1958263983,0.731921166012,-0.000642027082709,-0.0104757690879,-0.033330530055,39.3150631569,28.4462574372,33.880660297,0.35585327138,0.276453980916,0.78551729879,0.383033419023,0.244443953881
3,4,0.440010060534,0.180337037735,0.288195754736,0.0204594785142,0.016086211389,0.0351754434615,8.43375147576e-06,0.000582205174638,-0.000135859503761,25.9202635176,15.0385475008,20.4794055092,0.131916033758,0.419815022691,0.593408353969,0.759948652118,0.361729745734
0,1,0.703470004217,0.194332181314,0.678019395135,0.0334167331936,0.108018999724,0.82419403857,0.00327371777597,0.0424216175099,0.039197746425,36.6453553347,27.7945758236,32.2199655792,0.459403602773,0.241525274628,1.17948233759,0.158974358974,0.243362286429
1,2,0.751713529053,0.235198309951,0.789710716634,0.0879181962388,0.0694624723215,0.517925110212,0.0159855577994,0.0297970650578,0.00637441912712,41.1643578889,27.7379356747,34.4511467818,-0.573407052199,0.326166200635,0.855806625484,0.625641025641,0.296381968907
2,3,0.685974539687,0.263889822601,0.689364001031,0.131171696566,0.103881129308,0.0537428535355,-0.000694809757722,0.0148263708649,-0.00236745709563,40.4499290552,22.5633333229,31.506631189,0.0665775090767,0.442191028516,0.561391653637,0.789203084833,0.352988114434
3,4,0.598685018659,0.309226974294,0.578616144921,0.172353313477,0.0571486416969,0.0402541188144,-2.53919199246e-05,-0.0011782938913,-7.23875159042e-05,39.3483769329,15.9584817674,27.6534293502,-0.218403982593,0.59443100297,0.460464428835,0.803594351733,0.575646273249
0,1,0.707740508609,0.149757688861,0.665922240981,0.0151593131306,0.189659143548,0.0383763570978,0.0040062011031,0.00110187253237,0.00164606684702,27.9209036133,23.1578386209,25.5393711171,0.36030573707,0.170591362599,1.15008056426,0.48987854251,0.187876698936
1,2,0.800443349195,0.324176506656,0.948831319969,0.323855126284,1.02759383369,1.49714614315,0.55160522306,0.412332092215,-0.0582475384033,38.7259481184,19.3698639796,29.047906049,0.411188410224,0.499822085172,1.54244700706,0.825910931174,0.369187867819
2,3,0.873133492054,0.318298733249,1.10331565206,0.782632931181,0.261988604242,0.792831989566,0.0252882012529,0.146260159926,0.0261340008721,44.2286489651,14.6680541987,29.4483515819,0.366847844091,0.668358529099,1.9861032018,0.711382113821,0.373717836967
3,4,0.542173870934,0.345479809162,0.526733292464,0.190459014577,0.178879665778,0.348408849835,0.0488074093516,0.114346915844,0.00393048951367,30.8166400423,9.43677642215,20.1267082322,0.146205186137,0.693776595722,2.9459868871,0.596348884381,0.693606317512
0,1,0.742667699644,0.220229453823,0.764088450781,0.048788069857,0.361603239446,1.0120243966,-0.035899199843,0.0168689209465,0.106192043971,39.7973569012,29.5546754574,34.6760161793,-0.268121571813,0.257370896996,0.775836305516,0.482587064677,0.305943857906
1,2,0.588182311032,0.211104955797,0.497257184228,0.00794395158275,0.0269293321121,0.183887523663,-0.00126235844342,0.00111505024314,-0.00249462249129,30.7068191149,25.6177743827,28.1622967488,0.327868978374,0.165730117248,0.866724987386,0.751243781095,0.33538961682
2,3,0.741972620708,0.235276401036,0.773415588212,0.0968375769314,0.00803312552622,0.240319774217,-0.00102134100794,0.0301024507973,0.000513731422596,41.7097487286,27.2289196991,34.4693342138,-0.144344943303,0.347180922228,0.665814822592,0.561097256858,0.255412811883
3,4,0.623340453589,0.274646232895,0.591494535591,0.0834293480403,0.0119056019379,0.341946225227,0.00069793174732,0.0428457079507,0.00621106462697,37.6007911487,22.0467900909,29.8237906198,-0.699817361554,0.413661536968,1.08694121811,0.311332503113,0.414235061605
0,1,0.625856585183,0.260795129927,0.585195113202,0.114587991002,0.0435050809288,0.062549254804,0.000578350863725,0.00511448508921,-0.000511277733393,40.6850935717,21.0252811343,30.855187353,0.431935156229,0.483219054241,0.673646348898,0.870535714286,0.448225092666
1,2,0.774067659099,0.213870650744,0.821032465721,0.12130778565,0.131251372678,0.205853787248,-0.00192542333799,0.00712891407649,-0.00214711875993,45.775874077,29.1058363499,37.4408552135,0.696854248701,0.364166453689,1.07774459702,0.924107142857,0.199762462144
2,3,0.711196679789,0.243270819155,0.720844656647,0.00259889575344,0.147300792505,0.123358017473,-0.0174448943749,0.0011376048503,-0.00487552146808,37.1486386348,34.608079111,35.8783588729,0.0544707878882,0.0683890343536,1.07295724665,0.543624161074,0.310237951892
3,4,0.591647124162,0.221452349364,0.508605848756,0.0499701966524,0.00641436248759,0.172796818985,0.0019074901288,0.0202576142523,-4.12965186993e-05,36.2013995548,22.5891037631,29.395251659,-0.137449132306,0.376015733069,1.57044009663,0.435754189944,0.333613878245
0,1,0.713396082703,0.196093008663,0.696448836738,0.0238697131114,0.0898835486198,0.217144933309,0.00517742832537,0.00765568010161,0.00476755861401,38.4570677308,30.6905538896,34.5738108102,0.701283696628,0.201952834668,1.0378598451,0.701956271577,0.270107492396
1,2,0.77136339528,0.189441895762,0.803628501349,0.0299076045687,0.00176188649032,0.138667671964,-0.000329391923856,-0.00478891043562,-0.000547148863392,41.1742602966,33.0889474857,37.1316038911,0.224871464953,0.196368137587,1.21686709525,0.76267281106,0.198713492665
2,3,0.730774179463,0.245813757119,0.757179224447,0.0597313207837,0.158664584042,0.417737737278,-0.00784406794258,0.00972911099524,-0.00605260444838,41.6982181197,29.8359660966,35.7670921082,0.497687746802,0.284478631414,1.19421841718,0.668202764977,0.342291849082
3,4,0.509499225212,0.277828937958,0.429398328298,0.0115672631832,0.0323875209572,0.118477339323,0.00048440778493,0.00235669004605,-0.00115345875178,30.5134478996,23.6237782714,27.0686130855,0.442214876782,0.225791252789,1.17360929125,0.846597462514,0.56584109496
0,1,0.745060867607,0.347630788703,0.859780177224,0.364749020923,1.2926601854,1.61097176375,0.11278045293,0.15869305288,-0.202437100746,36.0119439823,15.055575866,25.5337599242,-0.0960130809409,0.581928265981,0.42867414576,0.672686230248,0.424490823564
1,2,0.846454596694,0.357867157905,1.07428318106,0.672857692978,1.18763696776,1.02750578225,-0.0293538588586,0.154990617102,-0.0826556536174,40.9705030747,15.0015890706,27.9860460727,0.186932127991,0.63384415751,0.411136781279,0.690744920993,0.442989210483
2,3,0.891011011871,0.393239039361,1.21198986019,1.12146897991,1.69757624921,2.13706595617,0.859578902947,0.700638091721,-0.116133551615,44.7549779482,11.6164565266,28.1857172374,0.286768146096,0.740443252144,0.391707449527,0.839002267574,0.43766608532
3,4,0.658942955355,0.331137894836,0.693280235867,0.322307739351,0.765862396568,0.796170429814,-0.0113985426423,0.0747570339683,0.0549849756869,33.3875061052,10.5353639276,21.9614350164,-0.158038367544,0.684451905622,0.35306277853,0.805429864253,0.548850355694
0,1,0.951513017631,0.213452006045,1.20958137144,1.0512287066,0.345749092582,1.76155321623,0.512044272225,0.924364583617,-0.0366978591344,56.0556455958,16.0968137635,36.0762296796,-0.269372411397,0.712842237524,2.51824414561,0.290184921764,0.182243629027
1,2,0.71274925343,0.232217882181,0.71574500207,0.0724506594035,0.12132553431,0.00763716667228,0.000715477893003,0.00387370635451,-0.000595350473938,37.1862325534,25.0398896622,31.1130611078,-0.078232743419,0.326635479241,1.47717062463,0.581196581197,0.314137115494
2,3,0.6104804897,0.254691750808,0.557276320809,0.133979459317,0.0351609573789,0.332755297185,0.0102551533783,0.0567094992362,-0.00207765768146,36.0045128864,16.3861820034,26.1953474449,0.425018880334,0.544885329928,1.59068723845,0.418803418803,0.396286304966
3,4,0.534761565479,0.227520990035,0.430756144167,0.0610258691898,0.0100675827988,0.224869587804,0.0026050974907,0.0213604591249,0.00118118305604,30.8263197046,16.0492442724,23.4377819885,0.485735174263,0.479365541324,0.714945871728,0.958630527817,0.406449548885
0,1,0.718774068472,0.265798457923,0.747381721037,0.0304559634433,0.217037465504,0.153257554575,0.00556161264808,0.00963099827912,0.0166920864673,33.7286561324,26.587889029,30.1582725807,0.00430491815898,0.21171217363,1.26856055978,0.858995137763,0.313009385569
1,2,0.782399182762,0.321755390554,0.91073553478,0.306624798906,0.604852496798,0.953159529106,0.132858032183,0.142444729408,-0.128357462311,42.5106957945,20.9889504955,31.749823145,0.17076096273,0.506266597071,1.91903583638,0.982171799028,0.416092907813
2,3,0.783153338441,0.316982243947,0.911317337564,0.417175552532,0.299285039545,0.682589183927,0.065639004146,0.119571214559,-0.0357173535343,43.7649015333,18.068592756,30.9167471447,0.124791168301,0.587144215502,2.3206429013,0.751219512195,0.437922284588
3,4,0.605608053552,0.251737051323,0.548253288919,0.0340673677477,0.0743135022145,0.0318215737875,-0.000604028172031,-0.000272815972352,0.000120203495214,30.0473388738,21.16727499,25.6073069319,-0.130818084717,0.295535785086,1.40137148297,0.75974025974,0.423903902169
0,1,0.767142718045,0.177879704966,0.789247138626,0.0200340676987,0.0338312827037,0.564520679801,-0.0175609246597,0.0304739856157,-0.0147963158261,32.8306797967,27.3869099597,30.1087948782,0.741041300452,0.165813497336,0.98423539213,0.6597582038,0.197272118575
1,2,0.63588050248,0.181031699431,0.556283390158,0.0520876747859,0.0505253365239,0.244938270228,0.000461755480827,0.0158125962645,4.61060872039e-05,30.1407251747,19.490741842,24.8157335083,-0.627550396782,0.353341974056,0.879786602995,0.946459412781,0.261492138796
2,3,0.688533875883,0.283490745511,0.707958753969,0.269047509169,0.231283448234,0.0162651253194,-0.0020386117943,-0.00900315481105,-0.000759725859106,37.6239521598,14.7786003408,26.2012762503,-0.517481496832,0.607202340732,1.48163389506,0.94280762565,0.429617918365
